Player,Price
Ronald Acuna Jr. - ATL,$60 
Juan Soto - WSH,$56 
Mike Trout - LAA,$52 
Mookie Betts - LAD,$51 
Cody Bellinger - LAD,$42 
Christian Yelich - MIL,$42 
Bryce Harper - PHI,$35 
Marcell Ozuna - ATL,$33 
George Springer - TOR,$28 
Kyle Tucker - HOU,$28 
J.D. Martinez - BOS,$23 
Yordan Alvarez - HOU,$23 
Aaron Judge - NYY,$22 
Luis Robert - CWS,$22 
Michael Conforto - NYM,$20 
Charlie Blackmon - COL,$20 
Starling Marte - MIA,$19 
Whit Merrifield - KC,$18 
Giancarlo Stanton - NYY,$18 
Nick Castellanos - CIN,$18 
Eddie Rosario - CLE,$17 
Randy Arozarena - TB,$17 
Franmil Reyes - CLE,$15 
Teoscar Hernandez - TOR,$14 
Trent Grisham - SD,$14 
Ketel Marte - ARI,$13 
Joey Gallo - TEX,$13 
Lourdes Gurriel Jr. - TOR,$12 
Jeff McNeil - NYM,$12 
Kris Bryant - CHC,$12 
Jorge Soler - KC,$12 
Byron Buxton - MIN,$12 
Max Kepler - MIN,$11 
Anthony Santander - BAL,$11 
Alex Verdugo - BOS,$11 
Wil Myers - SD,$11 
Tommy Pham - SD,$11 
Ramon Laureano - OAK,$10 
Michael Brantley - HOU,$10 
Brandon Lowe - TB,$9 
Mike Yastrzemski - SF,$9 
Cavan Biggio - TOR,$9 
Austin Meadows - TB,$9 
Ian Happ - CHC,$8 
Ryan Mountcastle - BAL,$8 
Trey Mancini - BAL,$8 
Kyle Schwarber - WSH,$8 
Andrew McCutchen - PHI,$8 
AJ Pollock - LAD,$8 
Brian Anderson - MIA,$6 
Dominic Smith - NYM,$6 
Victor Robles - WSH,$6 
Kole Calhoun - ARI,$5 
Kyle Lewis - SEA,$5 
Austin Riley - ATL,$5 
Mark Canha - OAK,$5 
Joc Pederson - CHC,$5 
Raimel Tapia - COL,$5 
Aaron Hicks - NYY,$4 
Mitch Haniger - SEA,$4 
David Peralta - ARI,$4 
Austin Hays - BAL,$4 
Nick Solak - TEX,$3 
Hunter Dozier - KC,$3 
Jesse Winker - CIN,$3 
Bryan Reynolds - PIT,$3 
Clint Frazier - NYY,$3 
Avisail Garcia - MIL,$3 
Dylan Carlson - STL,$3 
Andrew Benintendi - KC,$3 
Lorenzo Cain - MIL,$3 
David Fletcher - LAA,$2 
Chris Taylor - LAD,$2 
Tommy Edman - STL,$2 
Justin Upton - LAA,$2 
Corey Dickerson - MIA,$2 
Alex Dickerson - SF,$2 
Adam Eaton - CWS,$2 
Alex Kirilloff - MIN,$2 
Brandon Nimmo - NYM,$1 